PBI,Inspiro PBI link,(Web URL Link accessible to outside inspiro network)
AIRC-Greenlane,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/cd22f8df-9028-42fa-9a07-5d9e24e76d2a/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZGQwY2M4N2YtZWE0Ni00MTI2LWI0NTYtNTlkYmNiMmQ4MWViIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Hallmark,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/10aa8fee-82c6-4e1a-a789-fafa08610b84/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMDA2YTNkMmMtZTdkMi00ODg4LWFkYzctNzEwYzUwN2ZhNjQwIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-IDIQ,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/85a0aad7-a888-4d49-8b98-83d3445edc0c/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzFhNGFkOTMtYTY5OC00NzkwLTg2YjctZmE3ZTYzN2IwYTE3IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Kalahari,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/14423c85-a7f3-40f9-a712-976a2d039cba/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZmZjZmVjMjktNjNmOC00MzFkLTgyODAtZDdkOTI5ZWQ1MWUyIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Kyocera,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/a953273c-1763-4c11-8a8c-ac03d2e1d500/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiODhkZjUxNzktNTUwNS00N2FiLWEzYmYtODViOWQyNzA1NTM1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-M365,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/7101cd6b-d5b6-46d8-b173-f758a8c4b5ad/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzk2YWJjZjAtNzU4OS00NzI4LWE2MzItMWYwNGJiMTA1Yjc1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Maya,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/f5c8b7b2-838d-4dbb-a45e-9838a3747c7c/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiZmU3OTUyODEtOTBiZi00MjEwLTg1M2QtNWEzZGY2YjFjYWQwIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Maya Hotline,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/cf165f19-2def-4ddd-b76e-149870afe23c/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYmNiNGQxNWYtZTBmMy00MDAxLWFkZDAtMzQyMTYyNTBkYmU1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-MDH,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/658a8a21-1f39-4604-8cc1-c0e0cb1f082c/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiYmRhMTkxZjgtMWE1MC00YmNlLTgxYmUtMGZmNWQ0YWJkNTNlIiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
AIRC-Meralco Back Office,https://app.powerbi.com/groups/21679cca-04e8-4658-86d6-fe210ccc4391/reports/e85abdca-a0e3-4b2f-8513-064bcc44fe68/75e222b29352a864931f?experience=power-bi,https://app.powerbi.com/view?r=eyJrIjoiMzhiYzYxNDktNzEzOC00YTRkLThhYzUtMTgxNTI5NDU4M2M1IiwidCI6IjE3MGZjOGRiLTI4YmUtNDg3Ni1hZDRmLTk0ZTk4NDE4M2E3YiIsImMiOjEwfQ%3D%3D
